Commune,Niveau,Détails
Barisis-aux-Bois (02700),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Barzy-en-Thiérache (02170),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Barzy-sur-Marne (02850),Vigilance,zone : bassin de la Marne (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bassoles-Aulers (02380),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bazoches-et-Saint-Thibaut (02220),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beaumont-en-Beine (02300),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beaumont-en-Beine (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beaumé (02500),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beaurevoir (02110),Vigilance,zone : bassin de l'Escaut (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beaurieux (02160),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beautor (02800),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Beauvois-en-Vermandois (02590),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Becquigny (02110),Vigilance,zone : bassin de l'Escaut (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Belleau (02400),Vigilance,zone : bassin de l'Ourcq (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bellenglise (02420),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Belleu (02200),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bellicourt (02420),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bellicourt (02420),Vigilance,zone : bassin de l'Escaut (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Benay (02440),Vigilance,zone : bassin de la Somme (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Benay (02440),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bergues-sur-Sambre (02450),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Berlancourt (02250),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Berlise (02340),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bernot (02120),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Berny-Rivière (02290),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Berrieux (02820),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Berry-au-Bac (02190),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bertaucourt-Epourdon (02800),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
