Commune,Niveau,Détails
Moulis (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Méras (09350),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Mérigon (09230),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Nalzen (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Nalzen (09300),Crise,zone : BV_Sios (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Nescus (09240),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Ornolac-Ussat-les-Bains (09400),Crise,zone : BV_Arnave (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Oust (09140),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Pailhès (09130),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Pailhès (09130),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Pamiers (09100),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Prades (09110),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Pradettes (09600),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Prat-Bonrepaux (09160),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Prayols (09000),Crise,zone : BV_Arget (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Péreille (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Péreille (09300),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Raissac (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Raissac (09300),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Rieucros (09500),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Rieucros (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Rimont (09420),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Rimont (09420),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Rivèrenert (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Roquefixade (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
