Commune,Niveau,Détails
Grand-Auverné (44520),Crise,zone : Bassin de l'Erdre Amont (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Grandchamps-des-Fontaines (44119),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Grandchamps-des-Fontaines (44119),Alerte renforcée,zone : Bassin de l'Erdre Aval (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Guenrouet (44530),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Guenrouet (44530),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Guémené-Penfao (44290),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Guérande (44350),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Gétigné (44190),Crise,zone : Bassin de la Moine (eaux superficielles)<br>arrêté valable du 17/08/2022 au 31/10/2022
Gétigné (44190),Crise,zone : Bassin de la Sèvre Nantaise (eaux superficielles)<br>arrêté valable du 17/08/2022 au 31/10/2022
Haute-Goulaine (44115),Crise,zone : Bassin de la Sèvre Nantaise (eaux superficielles)<br>arrêté valable du 17/08/2022 au 31/10/2022
Haute-Goulaine (44115),Crise,zone : Bassin Affluents Sud Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Haute-Goulaine (44115),Alerte renforcée,zone : Bassin de la Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Herbignac (44410),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Héric (44810),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Héric (44810),Alerte renforcée,zone : Bassin de l'Erdre Aval (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Héric (44810),Vigilance,zone : bassin d'alimentation des captages de Nort-sur-Erdre (eaux souterraines)<br>arrêté valable du 15/09/2022 au 31/10/2022
Indre (44610),Alerte renforcée,zone : Bassin de la Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Issé (44520),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Jans (44170),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Joué-sur-Erdre (44440),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Joué-sur-Erdre (44440),Crise,zone : Bassin de l'Erdre Amont (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Joué-sur-Erdre (44440),Alerte renforcée,zone : Bassin de l'Erdre Aval (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Juigné-des-Moutiers (44670),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
Juigné-des-Moutiers (44670),Crise,zone : Bassin de l'Oudon (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Baule-Escoublac (44500),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Bernerie-en-Retz (44760),Crise,zone : Bassin côtiers bretons (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Boissière-du-Doré (44430),Crise,zone : Bassin Affluents Sud Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Chapelle-Glain (44670),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Chapelle-Glain (44670),Crise,zone : Bassin de l'Erdre Amont (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Chapelle-Heulin (44330),Crise,zone : Bassin Affluents Sud Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Chapelle-Launay (44260),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Chapelle-Launay (44260),Alerte renforcée,zone : Bassin de la Loire (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Chapelle-des-Marais (44410),Crise,zone : Bassin de la Brière (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Chapelle-sur-Erdre (44240),Alerte renforcée,zone : Bassin de l'Erdre Aval (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Chevallerais (44810),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Chevrolière (44118),Crise,"zone : Bassin de la Logne, Boulogne, Ognon, Grand-lieu (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022"
La Chevrolière (44118),Vigilance,zone : Bassin du Lac de Grand-Lieu (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Chevrolière (44118),Vigilance,zone : nappe en relation avec le lac de Grand-Lieu (St Philbert et Chevrolière) (eaux souterraines)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Grigonnais (44170),Crise,zone : Bassin de la Vilaine (eaux superficielles)<br>arrêté valable du 15/09/2022 au 31/10/2022
La Haie-Fouassière (44690),Crise,zone : Bassin de la Sèvre Nantaise (eaux superficielles)<br>arrêté valable du 17/08/2022 au 31/10/2022
