Commune,Niveau,Détails
Bourg-en-Bresse (01000),Alerte,zone : Rivières de Bresse (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Bourg-en-Bresse (01000),Alerte renforcée,zone : Rivières de Dombes (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Bourg-en-Bresse (01000),Vigilance,zone : Dombes – Certines – Nord (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Boyeux-Saint-Jérôme (01640),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Boz (01190),Alerte,zone : Rivières de Bresse (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Boz (01190),Alerte renforcée,zone : Saône Aval (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Boz (01190),Alerte renforcée,zone : Saône Aval (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Brens (01300),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Bresse Vallons (01340),Alerte,zone : Rivières de Bresse (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Bressolles (01360),Alerte renforcée,zone : Rivières de Dombes (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Bressolles (01360),Alerte,zone : Plaine de l'Ain (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Brion (01460),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Briord (01470),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Brégnier-Cordon (01300),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Brénod (01110),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Buellas (01310),Alerte renforcée,zone : Rivières de Dombes (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Buellas (01310),Vigilance,zone : Dombes – Certines – Nord (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Bâgé-Dommartin (01380),Alerte,zone : Rivières de Bresse (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Bâgé-le-Châtel (01380),Alerte,zone : Rivières de Bresse (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Béard-Géovreissiat (01460),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Béligneux (01360),Alerte renforcée,zone : Rivières de Dombes (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Béligneux (01360),Alerte,zone : Plaine de l'Ain (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Bénonces (01470),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Bény (01370),Alerte,zone : Rivières de Bresse (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Béon (01350),Alerte renforcée,zone : Rivières du Haut-Rhône (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Béréziat (01340),Alerte,zone : Rivières de Bresse (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Ceignes (01430),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Cerdon (01450),Alerte,zone : Rivières du Bugey (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Certines (01240),Alerte,zone : Rivières de Bresse (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Certines (01240),Alerte renforcée,zone : Rivières de Dombes (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Certines (01240),Vigilance,zone : Dombes – Certines – Nord (eaux souterraines)<br>arrêté valable du 29/07/2022 au 31/10/2022
Cessy (01170),Alerte renforcée,zone : Rivières du Haut-Rhône (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
Ceyzériat (01250),Alerte,zone : Rivières de Bresse (eaux superficielles)<br>arrêté valable du 29/07/2022 au 31/10/2022
