Commune,Niveau,Détails
Cirfontaines-en-Azois (52370),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Vaudrémont (52330),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Aulnoy-sur-Aube (52160),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Rennepont (52370),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Thilleux (52220),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Montheries (52330),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Pont-la-Ville (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Laferté-sur-Aube (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Lanty-sur-Aube (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
La Porte du Der (52220),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Dinteville (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Silvarouvres (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Rives Dervoises (52220),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Laneuville-à-Rémy (52220),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Aizanville (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Braux-le-Châtel (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Nully (52110),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Arc-en-Barrois (52210),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Planrupt (52220),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Vivey (52160),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Aubepierre-sur-Aube (52210),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Buxières-lès-Villiers (52000),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Maranville (52370),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Latrecey-Ormoy-sur-Aube (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Rizaucourt-Buchey (52330),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Cour-l'Évêque (52210),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Trémilly (52110),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Blumeray (52110),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Praslay (52160),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Ceffonds (52220),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Beurville (52110),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Vauxbons (52200),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Blessonville (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Auberive (52160),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Mathons (52300),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Bouzancourt (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Juzennecourt (52330),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Courcelles-sur-Blaise (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Daillancourt (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Charmes-en-l'Angle (52110),Alerte,zone : BLAISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
