Commune,Niveau,Détails
Brossac (16480),Alerte renforcée,"zone : OUGC Isle-Dronne /  Zone d'alerte : Lary, Pousonne, Palais (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022"
Brossac (16480),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Brossac (16480),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Bréville (16370),Crise,zone : OUGC Saintonge /  Zone d'alerte : L'Antenne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Bréville (16370),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Bunzac (16110),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Bunzac (16110),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Tardoire (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Bécheresse (16250),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Cellefrouin (16260),Crise,zone : OUGC Karst /  Zone d'alerte : Bonnieure (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Chadurie (16250),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Chalais (16210),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Challignac (16300),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Champagne-Mouton (16350),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Argent-Or_Lizonne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Champagne-Vigny (16250),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Champmillon (16290),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Champniers (16430),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Argence (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Chantillac (16360),Alerte,zone : OUGC Saintonge /  Zone d'alerte : Seugne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Chantillac (16360),Alerte renforcée,"zone : OUGC Isle-Dronne /  Zone d'alerte : Lary, Pousonne, Palais (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022"
Charmé (16140),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Bief (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Charras (16380),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Chasseneuil-sur-Bonnieure (16260),Crise,zone : OUGC Karst /  Zone d'alerte : Bonnieure (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Chasseneuil-sur-Bonnieure (16260),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Tardoire (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Chassiecq (16350),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Argent-Or_Lizonne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Chassors (16200),Crise,zone : OUGC Saintonge /  Zone d'alerte : L'Antenne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
