Commune,Niveau,Détails
Beaumesnil (14380),Crise,zone : VIRE AMONT (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beaumesnil (14380),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beaumont-en-Auge (14950),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beaumont-en-Auge (14950),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
"Belle Vie en Auge (14270, 14340)",Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
"Belle Vie en Auge (14270, 14340)",Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bellengreville (14370),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bellengreville (14370),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Benerville-sur-Mer (14910),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Benerville-sur-Mer (14910),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bernesq (14710),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bernesq (14710),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bernières-d'Ailly (14170),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bernières-d'Ailly (14170),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bernières-sur-Mer (14990),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bernières-sur-Mer (14990),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beuvillers (14100),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beuvillers (14100),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beuvron-en-Auge (14430),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beuvron-en-Auge (14430),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Biéville-Beuville (14112),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Biéville-Beuville (14112),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Blainville-sur-Orne (14550),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Blainville-sur-Orne (14550),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Blangy-le-Château (14130),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Blangy-le-Château (14130),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Blay (14400),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Blay (14400),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Blonville-sur-Mer (14910),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Blonville-sur-Mer (14910),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bonnebosq (14340),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bonnebosq (14340),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bonnemaison (14260),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bonnemaison (14260),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bonneville-la-Louvet (14130),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bonneville-la-Louvet (14130),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bonneville-sur-Touques (14800),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bonneville-sur-Touques (14800),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bonnœil (14700),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bonnœil (14700),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bons-Tassilly (14420),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bons-Tassilly (14420),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bougy (14210),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bougy (14210),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Boulon (14220),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Boulon (14220),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bourgeauville (14430),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bourgeauville (14430),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bourguébus (14540),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bourguébus (14540),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Branville (14430),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Branville (14430),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bretteville-le-Rabet (14190),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bretteville-le-Rabet (14190),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bretteville-sur-Laize (14680),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bretteville-sur-Laize (14680),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bretteville-sur-Odon (14760),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bretteville-sur-Odon (14760),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bricqueville (14710),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bricqueville (14710),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Brucourt (14160),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Brucourt (14160),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Brucourt (14160),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Brémoy (14260),Crise,zone : VIRE AMONT (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Brémoy (14260),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bréville-les-Monts (14860),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bréville-les-Monts (14860),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bréville-les-Monts (14860),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bucéels (14250),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bucéels (14250),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bénouville (14970),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bénouville (14970),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bény-sur-Mer (14440),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bény-sur-Mer (14440),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cabourg (14390),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cabourg (14390),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cabourg (14390),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Caen (14000),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Caen (14000),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cagny (14630),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cagny (14630),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cahagnes (14240),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cahagnes (14240),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cahagnolles (14490),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cahagnolles (14490),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cairon (14610),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cairon (14610),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cambes-en-Plaine (14610),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cambes-en-Plaine (14610),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cambremer (14340),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cambremer (14340),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Campagnolles (14500),Crise,zone : VIRE AMONT (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Campagnolles (14500),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Campigny (14490),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Campigny (14490),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Canapville (14800),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Canapville (14800),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Canchy (14230),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Canchy (14230),Vigilance,zone : NAPPE DU BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Canteloup (14370),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Canteloup (14370),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Carcagny (14740),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Carcagny (14740),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cardonville (14230),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cardonville (14230),Vigilance,zone : NAPPE DU BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Carpiquet (14650),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Carpiquet (14650),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Carpiquet (14650),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cartigny-l'Épinay (14330),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cartigny-l'Épinay (14330),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Castillon (14490),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Castillon (14490),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Castillon-en-Auge (14140),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Castillon-en-Auge (14140),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Castine-en-Plaine (14540),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Castine-en-Plaine (14540),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Caumont-sur-Aure (14240),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Caumont-sur-Aure (14240),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cauvicourt (14190),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cauvicourt (14190),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cauville (14770),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cauville (14770),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cernay (14290),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cernay (14290),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cesny-aux-Vignes (14270),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cesny-aux-Vignes (14270),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cesny-les-Sources (14220),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cesny-les-Sources (14220),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Chouain (14250),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Chouain (14250),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Chouain (14250),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Cintheaux (14680),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
