Commune,Niveau,Détails
Billey (21130),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Billy-lès-Chanceaux (21450),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Binges (21270),Vigilance,"zone : Bèze, Albane (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bissey-la-Côte (21520),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Bissey-la-Pierre (21330),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Blagny-sur-Vingeanne (21310),Vigilance,zone : Vingeanne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Blaisy-Bas (21540),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Blaisy-Haut (21540),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Blancey (21320),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Blanot (21430),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bligny-le-Sec (21440),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bligny-lès-Beaune (21200),Vigilance,"zone : Dheune, Avant Dheune (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bligny-sur-Ouche (21360),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Boncourt-le-Bois (21700),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bonnencontre (21250),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Boudreville (21520),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Bouhey (21360),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bouilland (21420),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bouilland (21420),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bouix (21330),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Bourberain (21610),Vigilance,"zone : Bèze, Albane (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bousselange (21250),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Boussenois (21260),Vigilance,"zone : Tille amont, Ignon, Venelle (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Boussey (21350),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Boux-sous-Salmaise (21690),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bouze-lès-Beaune (21200),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Brain (21350),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Braux (21390),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Brazey-en-Morvan (21430),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Brazey-en-Plaine (21470),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bressey-sur-Tille (21560),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bretenière (21110),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bretigny (21490),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Brianny (21390),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Brion-sur-Ource (21570),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Brochon (21220),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Brognon (21490),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Broin (21250),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Broindon (21220),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Brémur-et-Vaurois (21400),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Buffon (21500),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Buncey (21400),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Bure-les-Templiers (21290),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Busseaut (21510),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Busserotte-et-Montenaille (21580),Vigilance,"zone : Tille amont, Ignon, Venelle (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bussières (21580),Vigilance,"zone : Tille amont, Ignon, Venelle (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bussy-la-Pesle (21540),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bussy-le-Grand (21150),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Buxerolles (21290),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Bèze (21310),Vigilance,"zone : Bèze, Albane (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bévy (21220),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bézouotte (21310),Vigilance,"zone : Bèze, Albane (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Censerey (21430),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Cessey-sur-Tille (21110),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chaignay (21120),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chailly-sur-Armançon (21320),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chambain (21290),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chambeire (21110),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chamblanc (21250),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chambolle-Musigny (21220),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chambœuf (21220),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chamesson (21400),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Champ-d'Oiseau (21500),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Champagne-sur-Vingeanne (21310),Vigilance,zone : Vingeanne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Champagny (21440),Vigilance,"zone : Tille amont, Ignon, Venelle (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Champdôtre (21130),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Champeau-en-Morvan (21210),Vigilance,"zone : Serein amont, Romanée (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Champignolles (21230),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Champrenault (21690),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chanceaux (21440),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Channay (21330),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Charencey (21690),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Charigny (21140),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Charmes (21310),Vigilance,"zone : Bèze, Albane (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Charny (21350),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Charrey-sur-Saône (21170),Vigilance,zone : Saône moyenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Charrey-sur-Seine (21400),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chassagne-Montrachet (21190),Vigilance,"zone : Dheune, Avant Dheune (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chassey (21150),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chaudenay-la-Ville (21360),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chaudenay-le-Château (21360),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chaugey (21290),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chaume-et-Courchamp (21610),Vigilance,zone : Vingeanne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chaume-lès-Baigneux (21450),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chaumont-le-Bois (21400),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chaux (21700),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chazeuil (21260),Vigilance,zone : Vingeanne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chazilly (21320),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chemin-d'Aisey (21400),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chenôve (21300),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chenôve (21300),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Cheuge (21310),Vigilance,zone : Vingeanne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Chevannay (21540),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chevannes (21220),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Chevigny-Saint-Sauveur (21800),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
